feature,importance
num__QualityLivingArea,0.3707753230185493
num__TotalAreaScore,0.2767860103132602
num__OverallQual,0.12915245585736482
num__TotalSF,0.025031407318576827
num__BsmtFinSF1,0.021289692090295572
num__OverallScore,0.018057217236681165
num__TotalBathrooms,0.015344066972273097
num__YearBuilt,0.014674979856733687
num__HouseAge,0.014268801112899552
cat__BsmtQual_Ex,0.013069798232832478
num__GrLivArea,0.010418019494127424
num__LotArea,0.008338266371784366
num__GarageScore,0.008213657816591986
num__YearRemodAdd,0.005051337496233654
cat__KitchenQual_TA,0.004434736931456018
num__KitchenAbvGr,0.004217346896288511
num__YearsSinceRemodel,0.004139900651653223
num__BsmtUnfSF,0.0038069105704492995
num__2ndFlrSF,0.003740290777219813
num__1stFlrSF,0.003553516979932458
cat__BsmtExposure_Gd,0.0026495301503251297
num__Fireplaces,0.0026074643777516514
cat__BsmtQual_TA,0.0025261416911827213
cat__MSZoning_RM,0.0024605472823045647
num__TotalPorchSF,0.0023769116536783985
cat__HouseStyle_2Story,0.0020352059064979826
cat__SaleCondition_Partial,0.0020245105936716264
cat__SaleType_New,0.001896352293625227
num__TotRmsAbvGrd,0.001717588735374054
cat__MSZoning_RL,0.0016330996303588294
num__TotalBsmtSF,0.0016261027640460848
num__OverallCond,0.0015994222521655372
cat__FireplaceQu_None,0.0015373437115288667
cat__CentralAir_Y,0.0014263889511530769
num__GarageYrBlt,0.0012123621782542322
cat__Neighborhood_Crawfor,0.001204364749171985
cat__Neighborhood_StoneBr,0.001022364452952894
num__LotFrontage,0.0008482875574255259
cat__Exterior1st_BrkFace,0.0008459174105073619
num__OpenPorchSF,0.0008065053829195693
cat__Functional_Typ,0.0006544478652512879
cat__GarageType_Attchd,0.000507504330997515
num__GarageArea,0.00046303719136536005
cat__SaleCondition_Abnorml,0.0004620552441266317
cat__LandContour_Lvl,0.0004554260729340938
cat__Condition1_Norm,0.0004475496462889537
cat__BsmtFinType1_GLQ,0.000429575996837943
num__BedroomAbvGr,0.00042478486384199754
num__MSSubClass,0.0003816342798439105
cat__LotConfig_CulDSac,0.0003576516154836362
cat__BsmtExposure_No,0.00035179392602077437
num__PoolArea,0.00032679764634965336
cat__BsmtQual_Gd,0.00032492425663285677
cat__BsmtCond_Fa,0.0002871343635472464
cat__FireplaceQu_Gd,0.00026939291584261347
cat__MSZoning_C (all),0.0002601546044325355
num__MoSold,0.0002194730070905463
cat__Neighborhood_Veenker,0.0002147050690392091
cat__Neighborhood_Mitchel,0.0002092876656554781
cat__Condition1_Artery,0.00020497064507351545
cat__Functional_Maj1,0.0001954676387608091
num__WoodDeckSF,0.0001788215895887694
cat__KitchenQual_Ex,0.00017632747190331568
num__EnclosedPorch,0.00017301480237072488
cat__LandSlope_Mod,0.00017132578929240856
cat__Fence_GdPrv,0.00016607600792789407
cat__CentralAir_N,0.00016553036430761104
num__BsmtHalfBath,0.00016526784132011712
num__MasVnrArea,0.0001529782145662129
cat__GarageQual_TA,0.00015210386643479018
cat__SaleCondition_Normal,0.00014209947602131755
cat__Condition1_PosA,0.00013465434236994042
cat__Neighborhood_Somerst,0.00011664848230600869
cat__Exterior1st_Wd Sdng,0.00010635483771902629
num__YrSold,0.00010269614789332997
cat__GarageFinish_RFn,0.0001005639087544447
cat__SaleType_COD,8.770544825349877e-05
cat__Exterior1st_MetalSd,8.32866185767692e-05
cat__LandContour_HLS,8.214858605435252e-05
cat__Exterior1st_Plywood,8.14281255175164e-05
cat__SaleType_WD,7.491939421370898e-05
num__BsmtFinSF2,7.268212256563583e-05
cat__BsmtFinType2_BLQ,7.207842039561335e-05
cat__GarageType_BuiltIn,6.665746549052785e-05
cat__Foundation_Wood,6.190764208588571e-05
cat__LotConfig_Inside,6.109489243548812e-05
cat__Neighborhood_BrkSide,5.8342786734064585e-05
cat__LotShape_IR2,5.8244603048508184e-05
cat__LotShape_IR1,5.642599514468849e-05
num__BsmtFullBath,5.411643868512721e-05
cat__FireplaceQu_Ex,5.327209890387703e-05
cat__GarageType_Basment,5.2823568430516706e-05
cat__LotShape_Reg,5.270794113394124e-05
cat__Neighborhood_Edwards,5.0059413992118496e-05
cat__KitchenQual_Fa,4.9842237197628504e-05
cat__RoofStyle_Gable,4.954572918021354e-05
cat__BsmtExposure_Av,4.8045562512813244e-05
cat__BldgType_1Fam,4.7782562667366974e-05
cat__Fence_MnPrv,4.683234937139476e-05
cat__FireplaceQu_TA,4.432968226206827e-05
cat__Exterior2nd_AsbShng,4.168101759163023e-05
cat__Foundation_PConc,3.8320965274257056e-05
cat__Neighborhood_NAmes,3.7946977975330403e-05
cat__GarageCond_Fa,3.445218001774355e-05
cat__RoofStyle_Shed,3.0873779654694315e-05
cat__Condition1_RRAe,2.8724655948629386e-05
