feature,importance
num__QualityLivingArea,17.731925299695007
num__TotalSF,16.02034857688845
num__OverallQual,10.388875122045409
num__YearBuilt,2.871119815638048
num__BsmtFinSF1,2.6507033056591625
num__TotalBathrooms,2.6025099992136793
num__YearRemodAdd,2.414499694938989
num__TotalBsmtSF,2.295005719547953
num__OverallCond,2.12937117432367
num__LotArea,1.9992106908570775
num__GarageArea,1.9955395128554465
num__GrLivArea,1.8034373824520218
num__HouseAge,1.7481498959025974
num__Fireplaces,1.5806777979083735
num__YearsSinceRemodel,1.5160409715715173
num__GarageCars,1.4783781003108827
num__GarageYrBlt,1.387367352833265
num__1stFlrSF,1.3680941154801292
cat__CentralAir_Y,1.2230844227010866
cat__FireplaceQu_None,1.1822205669815384
cat__HeatingQC_Ex,1.0528152631101284
cat__CentralAir_N,0.9011616414203422
cat__GarageFinish_None,0.7753561769007674
num__TotalPorchSF,0.7140271497555094
num__BsmtUnfSF,0.6383800370190664
cat__BsmtQual_Ex,0.6309257773824358
num__HalfBath,0.6071399633847482
num__TotRmsAbvGrd,0.5931892919743329
cat__Functional_Typ,0.5835975405508064
num__LotFrontage,0.5678171620225342
num__BsmtFullBath,0.5470887747121753
num__2ndFlrSF,0.5465223940953386
cat__MSZoning_RM,0.5425598488414473
cat__KitchenQual_Ex,0.48955792837222534
cat__KitchenQual_Gd,0.4862935683094655
cat__ExterQual_Ex,0.4807545274026056
cat__BldgType_1Fam,0.46528694753258165
cat__Neighborhood_Crawfor,0.4608334773412106
num__WoodDeckSF,0.460240277543565
cat__GarageQual_None,0.40581803333720295
cat__BsmtExposure_Gd,0.40176836294269375
num__OpenPorchSF,0.3894272969653124
cat__Foundation_PConc,0.3738025507989503
cat__GarageType_Attchd,0.36917060729324647
num__FullBath,0.36277132496710013
cat__GarageFinish_Unf,0.35757317041029285
cat__SaleCondition_Normal,0.3493225688054156
cat__SaleCondition_Partial,0.3417823764380106
cat__SaleCondition_Abnorml,0.3150617285841643
cat__PavedDrive_N,0.30084232880554995
cat__Exterior1st_BrkFace,0.3007118787173363
num__YrSold,0.29618481316771395
cat__BsmtFinType1_Unf,0.26629065171342275
cat__Condition1_Artery,0.2623019188822006
cat__GarageCond_TA,0.2499013456723854
cat__BsmtQual_TA,0.2457568074534717
num__MSSubClass,0.2437644639526559
cat__BsmtQual_Gd,0.2375101496147756
cat__MSZoning_C (all),0.2272292051646897
num__EnclosedPorch,0.21916102037322607
cat__LotShape_Reg,0.21393861732367161
cat__BsmtFinType1_GLQ,0.20886526722114235
cat__KitchenQual_TA,0.19620524644641488
cat__GarageFinish_RFn,0.19268396651669817
num__MoSold,0.1868898200769811
cat__HouseStyle_1Story,0.1834987238393885
num__BedroomAbvGr,0.18296046672825028
cat__Condition1_Norm,0.18227484431540983
cat__SaleCondition_Family,0.1806807375832154
cat__FireplaceQu_Gd,0.17066486918275706
cat__GarageType_None,0.1705770789395374
cat__BsmtCond_Fa,0.15266587949980312
cat__Neighborhood_BrkSide,0.14880374942314656
cat__MSZoning_RL,0.1484064012198734
cat__GarageQual_TA,0.14454630542716385
num__MasVnrArea,0.11234426721600606
cat__BsmtExposure_No,0.10883607040462136
cat__MasVnrType_Stone,0.1001013846164946
cat__SaleType_New,0.09974775185457077
cat__Neighborhood_NoRidge,0.0931853887426375
