mae,mse,rmse,r2,train_time_sec,predict_time_sec,model
14865.395236811466,450975579.2422036,21236.185609525164,0.9183566548491188,0.3757,0.056,Linear Regression
14377.735250793885,408626733.66668034,20214.517893501205,0.9260233702439382,0.1909,0.0568,Ridge Regression
14013.643957467917,371676672.3288783,19278.917820481478,0.9327127049884437,0.5063,0.135,Lasso Regression
23074.369863013697,1115518626.0068486,33399.38062310211,0.7980496585683171,0.502,0.054,Decision Tree
16120.741929953118,536420239.57416064,23160.747819838645,0.9028879948686739,6.5196,0.1864,Random Forest
15317.451815858904,457128600.6089652,21380.565956236172,0.9172427292391968,7.0665,0.2528,Extra Trees
14188.28712463452,362344564.1851894,19035.350382516983,0.9344021634895909,2.6105,0.0734,Gradient Boosting
20757.289215383054,765441849.0869853,27666.619762576443,0.8614265695207977,2.164,0.0804,AdaBoost
14069.376645440914,369351646.1054144,19218.523515229113,0.9331336211692403,1.2946,0.0907,XGBoost
13721.357677155194,352137210.7028015,18765.319360533183,0.9362500739348527,5.2407,0.0832,CatBoost
14712.105981366132,432801062.1537607,20803.871326120065,0.9216469180915224,6.0868,0.1092,LightGBM
15519.324615880183,492584991.7707235,22194.2558282706,0.9108238043247073,0.4555,0.1171,SVR
13680.990532060907,347307581.2872964,18636.19009581348,0.9371244164036479,4.2627,0.0786,Tuned CatBoost
